name,category,Marking
Purely Homemade Andhra Flavored Idli Podi| Karam Podi Chutney Powder,condiments_sauces,Right
BHAVANGRI SEV Gathiya,snacks,Right
Rept Premium Whole Wheat Flour 2KG,staples_grains,Right
Milky Mist Farm Fresh Plain Curd,dairy,Right
Gullon Digestive Oats Aveia Orange with Chocolate Digestive Biscuit,biscuits,Right
Nestle Cerelac Wheat Apple Baby Cereal 6M+,breakfast_cereal,Right
Bambino Premium All Seasons Spirali Pasta,noodles,Right
WickedGud Masala Instant Noodles,noodles,Right
"EVEREST Spice Powder - Rasam Powder Masala, 500g",spices_masala,Right
Bikaji Sab Kuch Spicy Lentil & Peanut Mixture,snacks,Right
Rice Cereal for 6 Month Baby,breakfast_cereal,Right
Kellogg's Crunchy Chocolate Cookie Crumble Granola,biscuits,Right
